city_code,latitude,longitude
aast,43.291176486,-0.081740504
abainville,48.532750546,5.514720649
abancourt,50.237015848,3.208145691
abaucourt hautecourt,49.197206165,5.548912425
abaucourt sur seille,48.892374591,6.265494475
abbans dessous,47.133644066,5.872795299
abbans dessus,47.126422353,5.886627099
abbaretz,47.556025135,-1.49321773
abbecourt,49.599684482,3.176852327
abbenans,47.496247466,6.450747182
abbeville,50.108461953,1.832118331
abbeville la riviere,48.343284985,2.191127606
abbeville les conflans,49.200485513,5.843731257
abbeville st lucien,49.520385668,2.16536057
abbevillers,47.427178279,6.922075563
abeilhan,43.457635463,3.299816331
abelcourt,47.793017587,6.277605629
abere,43.387077237,-0.175022837
abergement la ronce,47.064796871,5.3777147020000005
abergement le grand,46.913794701,5.679217966
abergement le petit,46.906556941,5.696846623
abergement les thesy,46.913425736,5.946167798
abidos,43.395117024,-0.627969424
abilly,46.9411668,0.7346711570000001
abitain,43.417347405,-0.997953891
abjat sur bandiat,45.581694651,0.759660254
ablain st nazaire,50.396735443,2.697561649
ablaincourt pressoir,49.841540847,2.824162486
ablainzevelle,50.153042129,2.741150105
ablancourt,48.810539412,4.530056403
ableiges,49.085390681,1.974876453
ablis,48.528463606,1.850859166
ablon,49.394167784,0.287092017
ablon sur seine,48.724658139,2.4212571670000003
aboen,45.412675338,4.126790977
aboncourt,49.256565568,6.354340588
aboncourt gesincourt,47.767985813,5.972855676
aboncourt sur seille,48.818456636,6.356104796
abondance,46.26628001,6.731861436
abondant,48.795241562,1.419603665
abos,43.353788699,-0.5509991870000001
abreschviller,48.601780036,7.155639154
abrest,46.096050566,3.449986435
abries ristolas,44.774752599,6.967890004
abscon,50.327672259,3.297955363
abzac,46.099584226,0.7158761920000001
accolans,47.490214573,6.534915475
accons,44.888443768,4.392010929
accous,42.923528898,-0.6135898040000001
achain,48.916241554,6.590970262
achen,49.046037232,7.184575993
achenheim,48.580621944,7.625748873
acheres,47.282653733,2.458761486
acheres la foret,48.348745542,2.564115074
achery,49.694004156,3.397491579
acheux en amienois,50.071730235,2.530600587
acheux en vimeu,50.066457284,1.670382248
acheville,50.384603761,2.882479545
achey,47.577466304,5.607388119
achicourt,50.272272653,2.755768001
achiet le grand,50.132750794,2.778947846
achiet le petit,50.125895179,2.755440093
achun,47.129277559,3.664497222
achy,49.556684427,1.972241222
acigne,48.146472503,-1.519156922
aclou,49.165580435,0.698765378
acon,48.769859509,1.104718837
acoua,-12.724026219,45.068896069
acq,50.349072613,2.655012792
acquigny,49.164558704,1.176307129
acquin westbecourt,50.729243721,2.077018046
acy,49.346919586,3.418183101
acy en multien,49.108868478,2.954495403
acy romance,49.491790397,4.327623192
adaincourt,49.006111849,6.443765909
adainville,48.72032203,1.662453862
adam les passavant,47.304423439,6.368961844
adam les vercel,47.163652359,6.390747202
adamswiller,48.906130415,7.201500348
adast,42.974476759,-0.076804788
ade,43.141350934,-0.025904404
adelange,49.008115022,6.605699558
adelans et le val de bithaine,47.706717531,6.395819289
adervielle pouchergues,42.795853294,0.385451223
adilly,46.701598921,-0.315682655
adinfer,50.193591382,2.705666569
adissan,43.535005474,3.426029227
adon,47.764264401,2.798142383
adriers,46.264597041,0.79007028
afa,41.984099158,8.798384636
affieux,45.507912414,1.767791721
affleville,49.263994959,5.753605265
affoux,45.843773423,4.413312279
affracourt,48.457907449,6.165471074
affringues,50.690271695,2.074841059
agassac,43.372367868,0.886030682
agde,43.309295818,3.48413177
agel,43.347960858,2.853529202
agen,44.202826475,0.6257305230000001
agen d aveyron,44.351284364,2.694054322
agencourt,47.125046661,4.985308654
agenville,50.17168719,2.107640449
agenvillers,50.179603631,1.924144229
ageville,48.112373641,5.337814152
agey,47.287287254,4.762807306
aghione,42.09858371,9.41182181
